datetime,met_hours,met_label,x,y,z,vx,vy,vz,dist_earth_km,dist_earth_radii,dist_moon_km,speed_kms,speed_kmh
2026-04-02 01:59:59,3.416389,T+0d 03h 24m,-24602.54587,-14661.53624,-1313.58052,-1.80701516,-3.85191927,-0.33441411,4288977480181.508,672449566.830065,468900.859,4.26783535,15364.20727
2026-04-02 02:04:59,3.499722,T+0d 03h 29m,-25126.75603,-15806.07134,-1412.96621,-1.68847112,-3.77869096,-0.32802844,4445806680024.354,697038114.563862,467683.028,4.15175177,14946.30638
2026-04-02 02:09:59,3.583056,T+0d 03h 34m,-25616.61745,-16929.0016,-1510.42383,-1.57869006,-3.70787256,-0.32171063,4598969374056.339,721051807.275528,466503.901,4.04278109,14554.01194
2026-04-02 02:14:59,3.666389,T+0d 03h 39m,-26074.82095,-18031.02548,-1606.01491,-1.47731646,-3.63932986,-0.31559739,4748627247855.725,744515994.922614,465361.261,3.94040448,14185.45614
2026-04-02 02:19:59,3.749722,T+0d 03h 44m,-26503.75405,-19112.82149,-1699.80309,-1.38340702,-3.57300583,-0.30969091,4894933436580.697,767454686.88061,464253.094,3.84396854,13838.28673
2026-04-02 02:24:59,3.833056,T+0d 03h 49m,-26905.52639,-20175.0416,-1791.84923,-1.29611407,-3.50880788,-0.30398213,5038029810267.597,789890126.317014,463177.58,3.75287217,13510.33982
2026-04-02 02:29:59,3.916389,T+0d 03h 54m,-27282.01126,-21218.30903,-1882.21113,-1.21471235,-3.44663809,-0.29846097,5178047795770.738,811842919.059591,462133.07,3.66659503,13199.74212
2026-04-02 02:34:59,3.999722,T+0d 03h 59m,-27634.88055,-22243.21737,-1970.94358,-1.13858104,-3.38639749,-0.2931175,5315109316669.993,833332180.960279,461118.061,3.58468585,12904.86905
2026-04-02 02:39:59,4.083056,T+0d 04h 04m,-27965.63323,-23250.33068,-2058.09844,-1.06718552,-3.32798851,-0.28794212,5449327629024.56,854375668.929274,460131.181,3.50675108,12624.30387
2026-04-02 02:44:59,4.166389,T+0d 04h 09m,-28275.61895,-24240.18416,-2143.72474,-1.00006278,-3.27131648,-0.28292563,5580808087734.19,874989901.089376,459171.173,3.43244577,12356.80478
2026-04-02 02:49:59,4.249722,T+0d 04h 14m,-28566.0577,-25213.28517,-2227.86883,-0.93680971,-3.21629059,-0.27805931,5709648843883.507,895190266.109478,458236.882,3.36146613,12101.27807
2026-04-02 02:54:59,4.333056,T+0d 04h 19m,-28838.05633,-26170.11446,-2310.57452,-0.87707365,-3.16282436,-0.27333493,5835941476187.047,914991122.206011,457327.244,3.29354339,11856.75622
2026-04-02 02:59:59,4.416389,T+0d 04h 24m,-29092.62229,-27111.12761,-2391.88325,-0.82055074,-3.11083351,-0.26874327,5959771548719.854,934405884.58702,456441.277,3.22843795,11622.37662
2026-04-02 03:04:59,4.499722,T+0d 04h 29m,-29330.67327,-28036.75811,-2471.83545,-0.76641796,-3.06060411,-0.2645187,6081219079442.775,953447098.910149,455578.069,3.166175,11398.23001
2026-04-02 03:09:59,4.583056,T+0d 04h 34m,-29552.97418,-28947.44491,-2550.4865,-0.71412818,-3.01152566,-0.26024648,6200354111447.269,972125746.917952,454736.803,3.10596106,11181.45983
2026-04-02 03:14:59,4.666389,T+0d 04h 39m,-29759.86952,-29843.58414,-2627.85819,-0.66563372,-2.96321125,-0.25578488,6317202946806.894,990445952.394725,453916.963,3.04780496,10972.09785
2026-04-02 03:19:59,4.749722,T+0d 04h 44m,-29952.58282,-30725.49725,-2703.97276,-0.61948705,-2.91640334,-0.25166305,6431881888739.385,1008425950.001001,453117.524,2.99207402,10771.46648
2026-04-02 03:24:59,4.833056,T+0d 04h 49m,-30131.76109,-31593.53988,-2778.86645,-0.57406506,-2.8707735,-0.24766917,6544452712284.534,1026075425.16855,452337.805,2.93806589,10577.03722
2026-04-02 03:29:59,4.916389,T+0d 04h 54m,-30295.33145,-32448.69175,-2854.28271,-0.5184673,-2.82683215,-0.24462145,6654787981528.372,1043374397.791264,451578.407,2.88437653,10383.75552
2026-04-02 03:34:59,4.999722,T+0d 04h 59m,-30444.78798,-33290.1795,-2927.09185,-0.47820102,-2.78325139,-0.24078761,6762897719055.76,1060324439.265328,450838.951,2.83428002,10203.40807
2026-04-02 03:39:59,5.083056,T+0d 05h 04m,-30582.42083,-34118.73931,-2998.76395,-0.43962285,-2.74063797,-0.23704042,6869076522251.322,1076971738.195041,450117.412,2.78577689,10028.7968
2026-04-02 03:44:59,5.166389,T+0d 05h 09m,-30708.71907,-34934.65443,-3069.32435,-0.4026188,-2.69894608,-0.23337571,6973373217638.509,1093323949.872299,449413.262,2.73877273,9859.58182
2026-04-02 03:49:59,5.249722,T+0d 05h 14m,-30824.13914,-35738.1948,-3138.79723,-0.36708528,-2.65813269,-0.22978957,7075834063509.981,1109388326.927597,448726.003,2.69318107,9695.45184
2026-04-02 03:54:59,5.333056,T+0d 05h 19m,-30929.10782,-36529.61784,-3207.20558,-0.33292792,-2.61815734,-0.22627833,7176502931674.41,1125171747.825292,448055.165,2.64892256,9536.12123
